evidence_area,method_or_route,scope,audit_packet_path,canonical_metric_source,key_files,status,claim_boundary,notes
Track A 120 canonical metrics,direct_llm_original,Track A same-engine 120,audits/direct_llm_original_track_a_120_canonical_user_rerun_v0,audits/direct_llm_original_track_a_120_canonical_user_rerun_v0/local_metrics_summary_review.md,local_metrics_summary_review.md; frontier_review.md; engine_metrics_review.md; canonical_metrics_outputs.md,complete local diagnostic,local diagnostic only; not official metrics/paper result,Keep separate from PG40 prior methods.
Track A 120 canonical metrics,direct_llm_repair_1,Track A same-engine 120,audits/direct_llm_repair_1_track_a_120_canonical_user_rerun_v0,audits/direct_llm_repair_1_track_a_120_canonical_user_rerun_v0/local_metrics_summary_review.md,local_metrics_summary_review.md; frontier_review.md; engine_metrics_review.md; canonical_metrics_outputs.md,complete local diagnostic,local diagnostic only; not official metrics/paper result,Keep separate from PG40 prior methods.
Track A 120 canonical metrics,sqlglot_noop,Track A same-engine 120,audits/sqlglot_noop_track_a_120_canonical_user_rerun_v0,audits/sqlglot_noop_track_a_120_canonical_user_rerun_v0/local_metrics_summary_review.md,local_metrics_summary_review.md; frontier_review.md; engine_metrics_review.md; canonical_metrics_outputs.md,complete local diagnostic,local diagnostic only; not official metrics/paper result,Keep separate from PG40 prior methods.
Track A 120 canonical metrics,sqlglot_optimize_schema_aware,Track A same-engine 120,audits/sqlglot_optimize_schema_aware_track_a_120_canonical_user_rerun_v0,audits/sqlglot_optimize_schema_aware_track_a_120_canonical_user_rerun_v0/local_metrics_summary_review.md,local_metrics_summary_review.md; frontier_review.md; engine_metrics_review.md; canonical_metrics_outputs.md,complete local diagnostic,local diagnostic only; not official metrics/paper result,Keep separate from PG40 prior methods.
Track A 120 canonical metrics,calcite_hep_fail_closed,Track A same-engine 120,audits/calcite_hep_track_a_120_canonical_user_rerun_with_metrics_v0,audits/calcite_hep_track_a_120_canonical_user_rerun_with_metrics_v0/local_metrics_summary_review.md,local_metrics_summary_review.md; frontier_review.md; engine_metrics_review.md; canonical_metrics_outputs.md,complete local diagnostic,local diagnostic only; not official metrics/paper result,Keep separate from PG40 prior methods.
PG40 prior-method metrics,learnedrewrite,PostgreSQL Common-core 40,audits/learnedrewrite_pg40_bounded_local_diagnostic_v0,audits/learnedrewrite_pg40_bounded_local_diagnostic_v0/local_metrics_summary_review.md,local_metrics_summary_review.md; bounded_diagnostic_summary.json; bounded_diagnostic_report.md; source_like_review.md,complete bounded local diagnostic,PostgreSQL-only external-runtime bounded evidence; not Track A 120,Appendix/bounded evidence only.
PG40 prior-method metrics,rbot_gpt54_adapted,PostgreSQL Common-core 40,audits/rbot_gpt54_pg40_bounded_local_diagnostic_rerun_with_metrics_v0,audits/rbot_gpt54_pg40_bounded_local_diagnostic_rerun_with_metrics_v0/local_metrics_summary_review.md,local_metrics_summary_review.md; bounded_diagnostic_summary.json; bounded_diagnostic_report.md; source_like_review.md,complete bounded local diagnostic,PostgreSQL-only adapted GPT-5.4 local diagnostic; not original R-Bot paper reproduction and not Track A 120,Appendix/bounded evidence only.
PG40 prior-method metrics,llm_r2_gpt54_adapted,PostgreSQL Common-core 40,audits/llm_r2_gpt54_pg40_bounded_local_diagnostic_v0,audits/llm_r2_gpt54_pg40_bounded_local_diagnostic_v0/local_metrics_summary_review.md,local_metrics_summary_review.md; bounded_diagnostic_summary.json; bounded_diagnostic_report.md; source_like_review.md,complete bounded local diagnostic,PostgreSQL-only adapted GPT-5.4 local diagnostic; not original LLM-R2 paper reproduction and not Track A 120,Appendix/bounded evidence only.
PG40 route boundary packet,learnedrewrite,PostgreSQL Common-core 40,audits/learnedrewrite_pg40_route_boundary_policy_v0,N.A.,README.md; failure_frontier_policy.md; track_a_120_readiness.md,complete policy boundary,not Track A 120,Use for claim wording.
PG40 route boundary packet,rbot_gpt54_adapted,PostgreSQL Common-core 40,audits/rbot_gpt54_pg40_route_boundary_policy_v0,N.A.,README.md; failure_frontier_policy.md; track_a_120_readiness.md,complete policy boundary,not Track A 120,Use for claim wording.
PG40 route boundary packet,llm_r2_gpt54_adapted,PostgreSQL Common-core 40,audits/llm_r2_gpt54_pg40_route_boundary_policy_v0,N.A.,README.md; failure_frontier_policy.md; track_a_120_readiness.md,complete policy boundary,not Track A 120,Use for claim wording.
Failure/tag slice packet,Track A 120 routes,Track A same-engine 120,audits/track_a_120_tag_failure_slices_v0,N.A.,route_failure_by_tag.csv; route_failure_by_axis.csv; cross_route_failure_hotspots.md,complete diagnostic/support packet,tag_slices are not POCR or ranking metrics,Format inspiration and Track A diagnostic summary.
Failure/tag slice packet,PG40 prior methods,PostgreSQL Common-core 40,audits/prior_methods_pg40_tag_failure_slices_v0,N.A.,route_failure_by_tag.csv; route_failure_by_axis.csv; cross_method_tag_failure_hotspots.md,complete diagnostic/support packet,tag_slices are not POCR or ranking metrics,PG40 prior-method diagnostic summary.
Repair-1 frontier/policy,direct_llm_repair_1,Track A same-engine 120,audits/direct_llm_repair_1_track_a_120_route_assembly_policy_v0,N.A.,route_assembly_policy.md; denominator_and_metrics_policy.md; repair_attempt_eligibility_matrix.csv,complete route assembly policy,Repair-1 separate route; not Direct LLM original metrics,Use for route semantics.
Direct LLM frontier,direct_llm_original,Track A same-engine 120,audits/direct_llm_original_non_exact_frontier_review_v0,N.A.,frontier_table.csv; frontier_summary.json; repair1_design_requirements.md,complete diagnostic frontier review,frontier only; not new metric,Use for Repair-1 motivation.
Verifier/support,SQLSolver,coverage-limited verifier support,audits/sqlsolver_coverage_limited_boundary_v0,N.A.,README.md; no_ser_boundary.md; verifier_status_recommendation.md,coverage_limited,not official SER; not rewrite baseline,Support evidence only.
Verifier/status output,user verifier status integration,user output contract,audits/user_output_verifier_status_integration_v0,N.A.,README.md; verifier_output_contract.md; no_ser_boundary.md,complete output contract,no verifier run; no official SER,Status rendering semantics.
Metric contract patch,metrics_contract_d032_d033_patch_v0,metrics contract,audits/metrics_contract_d032_d033_patch_v0,repository_spec/metrics_contract_v1.md,README.md; metric_formula_after_patch.csv; verifier_phase_ser_boundary.md,complete policy patch,contract only; no metric recomputation,Defines formulas and boundaries.
